phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,C(gr)
0.3,1066.2525265269308,9.029094274101139e-11,1.1366994804125575e-13,3.9258513254332236e-10,0.14253936228831326,2.747866222909452e-07,0.06109965800022185,1.4755228317931965e-09,1.4500340613137337e-10,9.657446144442069e-48,3.3847818501184205e-49,3.532771887799319e-47,2.477868131707694e-49,7.775470003996008e-44,3.4359770066927064e-42,4.068492854109558e-11,0.03054989813968305,8.371925647864628e-26,1.9557600871872144e-27,3.750001578870167e-39,1.1157531156217552e-41,4.369761573821495e-39,2.130027424200946e-66,4.095488835329756e-59,1.11473798695824e-69,4.740507292715501e-67,1.9781524084064364e-77,3.98948136140031e-77,1.6677417498479393e-51,2.2335769376044394e-49,1.0058697854643745e-55,9.175384467061202e-21,3.0446272441767167e-22,4.135992127969344e-22,2.906017309475058e-19,6.193048003313291e-20,5.059458645539751e-05,1.459929242218323e-06,3.878103112376355e-09,7.008993028755557e-14,5.111731765153757e-37,1.618631479146553e-30,9.798922185566387e-44,3.1443118709079857e-49,3.821521961963429e-36,2.6516903245207948e-27,3.9265719402672137e-22,3.412542863778265e-26,0.7657580829194184,0.0,7.514916582475416e-112,1.5841498246842243e-111,2.763516852404302e-60,8.005096477654261e-60,0.0
0.3653061224489796,1208.1536176578304,3.1025594435906993e-09,1.2785255552200869e-11,1.0654922269457847e-08,0.12832855065064436,2.539644906749612e-06,0.07390763652121152,8.747814585717187e-09,6.86539574832929e-10,3.34236640556551e-41,1.3372876984778356e-42,5.139871591546287e-41,5.860844984095717e-43,2.440257346162254e-38,3.097098162402861e-37,2.177700581997824e-09,0.03695445507855556,1.9108876637153035e-22,3.3363166017189816e-24,1.3082040666273833e-34,5.628081769671976e-37,6.847238743141149e-35,1.4073065064407118e-57,1.736367993263008e-51,6.542814797731968e-61,5.785163845811892e-59,3.266711039219852e-68,2.5047326987271045e-68,5.919075326300295e-45,2.2512359670784566e-43,5.651519353066686e-49,5.085064519099717e-18,2.0085760263090278e-19,1.6912139279562402e-19,2.793681759008957e-17,9.541180752339872e-18,0.00016065825194599528,2.0478793139720594e-06,1.1075937428717038e-08,1.5099163125271507e-12,4.205425409547145e-32,1.306864709081591e-26,2.0562508413079493e-38,2.1177513748041864e-43,5.082308598798863e-32,2.9916588984350265e-24,1.1093024327046844e-19,4.716796734218394e-23,0.7606436864433276,0.0,7.947701702454287e-99,6.220913145278034e-99,4.008233676714826e-53,5.09950281117835e-53,0.0
0.4306122448979592,1343.3388172658756,4.680323736269057e-08,4.670517326070088e-10,1.2748588860150335e-07,0.11424792941539108,1.3632152318449082e-05,0.08654301769918234,3.2959920122797635e-08,2.227134532428832e-09,3.096785142032168e-36,1.391745828183034e-37,2.5544744451550325e-36,4.205761700051361e-38,3.882246861397727e-34,1.9635910692960688e-33,4.5344046076275714e-08,0.0432749044191507,6.93586727700844e-20,9.917298608252672e-22,3.8870332622397454e-31,2.2136088937216085e-33,1.1317865495855114e-31,7.40976152861022e-51,1.1692784644744376e-45,3.268712799916761e-54,8.999811843109432e-53,3.7139597267698204e-61,1.4004405824937309e-61,5.86718425380657e-40,8.803462194474338e-39,8.136385002612547e-44,6.067380491462254e-16,2.7729797764337363e-17,1.6546278325997393e-17,9.317586343332063e-16,4.3863466952685566e-16,0.00037762170587406484,2.5543254825116563e-06,2.4187325130494966e-08,1.5411658763654695e-11,2.292269324345167e-28,1.2604786763835314e-23,2.3743954659439453e-34,5.823011987759976e-39,7.055987119840715e-29,6.387439960635401e-22,8.349257293097056e-18,1.1569384083148141e-20,0.7555422804266779,0.0,7.49865324056174e-89,2.835833906592224e-89,1.1982895632546093e-47,8.362734198963084e-48,0.0
0.4959183673469388,1472.319676714259,4.056511725841568e-07,7.99155968713029e-09,8.751652125676875e-07,0.10027924178619287,5.061020680130496e-05,0.09900027434096965,9.099416690428858e-08,5.57002623766254e-09,2.519158445356223e-32,1.259430462036386e-33,1.3157263780169707e-32,2.8882103614776127e-34,8.355011057614861e-31,2.102156005212275e-30,5.012787533561373e-07,0.04951251882246317,7.321089520394977e-18,9.124802121625277e-20,2.207835496256476e-28,1.5687847100932003e-30,4.1354609074055023e-29,1.5244769427996197e-45,4.895896566683495e-41,6.678336295225379e-49,7.520276563417572e-48,1.4989148507170304e-55,3.307457546210346e-56,5.268208574419203e-36,3.8929721449853407e-35,1.00122251019251e-39,2.5717384873061966e-14,1.3357960529697559e-15,6.188000846129754e-16,1.5268801160526097e-14,8.934866220169883e-15,0.0007224109648410095,2.9235145872452445e-06,4.3904231424654765e-08,9.492546976484547e-11,2.021025445808727e-25,2.924213410246582e-21,3.915027652845629e-31,1.867170766064109e-35,2.142831971755386e-26,4.4569502416314945e-20,2.583738493264044e-16,8.871203096323591e-19,0.7504421300884514,0.0,6.380198201889919e-81,1.3926251315767385e-81,2.6484848514712876e-43,1.1782691229082138e-43,0.0
0.5612244897959184,1595.4762580427646,2.3804896546940866e-06,7.998407022898362e-08,4.036979711899889e-06,0.086414763601588,0.0001443500693986123,0.11126583276347489,2.0023257125645868e-07,1.1521163747670722e-08,3.6950109864181367e-29,2.0442981486454536e-30,1.3779266140940102e-29,3.812050057657209e-31,4.4191214458479735e-28,6.479042418097617e-28,3.55453478125947e-06,0.05566671552761939,3.2416987380167145e-16,3.6853510929134754e-18,3.9187528284054815e-26,3.332469372258832e-28,5.240882891106963e-27,3.218423591862503e-41,2.924436525964311e-37,1.4494699199831937e-44,8.104462909041768e-44,5.828276995137021e-51,8.519674109475444e-52,8.759532314700409e-33,3.733109574582436e-32,2.1911525044977925e-36,5.240017814130469e-13,3.059428240434988e-14,1.1753613559042785e-14,1.5197399441459433e-13,1.0245106997416603e-13,0.0011897277703753126,3.121807895331745e-06,6.959080299721439e-08,4.0797683275362725e-10,4.9524862452466336e-23,2.4978884647447228e-19,1.645792563497628e-28,1.3202918428943307e-32,2.2295700037148824e-24,1.4162578191111153e-18,4.281088291274874e-15,2.997538379777019e-17,0.745344636638853,0.0,2.0032901450175885e-74,2.8650352700634157e-75,9.412800907092905e-40,2.9719826756066225e-40,0.0
0.6265306122448979,1713.0413252290045,1.052326715930562e-05,5.40078673995855e-07,1.3814968527068945e-05,0.07266232999817099,0.0003379340966950083,0.12331655400277004,3.695830436452016e-07,2.0577802647415396e-08,1.5508715553096964e-26,9.48130519859619e-28,4.531365130522845e-27,1.5157795637614133e-28,8.455406367764662e-26,8.132498034888136e-26,1.82677746213831e-05,0.061729992422224066,7.624247186646543e-15,8.190897123463862e-17,2.9859461692343564e-24,2.947302012460403e-26,3.085463380806241e-25,1.2997334383100115e-37,4.267139789497151e-34,6.198536383548727e-41,1.988944250041244e-40,4.1717899898322437e-47,4.4346228418488125e-48,4.27942277809999e-30,1.1836950410424529e-29,1.3698568889169671e-33,6.223271870189759e-12,4.06119927787891e-13,1.3613837298419433e-13,1.0544926206826517e-12,7.709393625431063e-13,0.0017450588638224117,3.1323489464174233e-06,9.922837543063457e-08,1.3408214650706447e-09,4.778110534388954e-21,1.0350269647981281e-17,2.5655074612300924e-26,3.1032236551281784e-30,1.060720631108824e-22,2.5387409601758193e-17,4.5067750730983656e-14,5.56445646641745e-16,0.7402658342638939,0.0,5.792790097678584e-69,5.970950887910531e-70,8.895359805975401e-37,2.1613101941526025e-37,0.0
0.6918367346938776,1825.0265985985156,3.770277631021123e-05,2.706741875597491e-06,3.733380931506979e-05,0.05905665465219062,0.0006773893814289827,0.13511894240772473,5.893529517572747e-07,3.2565942993981355e-08,2.537564487227637e-24,1.718212507244682e-25,6.278918022296054e-25,2.460429574258558e-26,7.619477106503206e-24,5.27944767524818e-24,7.3928619566328e-05,0.06767458252167313,1.1169178902113246e-13,1.1686676106254497e-15,1.211888508210524e-22,1.3562977897763699e-24,1.0310874661971173e-23,1.5307321056179935e-34,2.1959413420722507e-31,7.958608510252528e-38,1.642066590810149e-37,8.565297689664495e-44,7.131837959289578e-45,8.400939334817205e-28,1.6556590134724956e-27,3.377506359399407e-31,4.8908323251131805e-11,3.564521043069371e-12,1.087562714045193e-12,5.608197592681889e-12,4.2175992904145896e-12,0.0023249587238250774,2.9510704972185375e-06,1.294456512488574e-07,3.573886918619138e-09,2.294363876825127e-19,2.5109039366067347e-16,1.9129315697883923e-24,3.1974214785891813e-28,2.8013455292039568e-21,2.967516434795506e-16,3.3871574696433057e-13,6.578065525450544e-15,0.735236249587349,0.0,2.888754555834664e-64,2.3152754154521355e-65,3.149769648167016e-34,6.284204089462153e-35,0.0
0.7571428571428571,1931.049612863489,0.00011542909412901304,1.0747396477010803e-05,8.263955783421303e-05,0.04568548126144844,0.001192771774459365,0.1466273596598079,8.222168138484276e-07,4.623761378751928e-08,2.0012855901190505e-22,1.5115592632429681e-23,4.508955465528338e-23,2.0181400761324767e-24,3.907904530668563e-22,2.1119217409851649e-22,0.0002498477056847394,0.07342265716766794,1.1391531952232536e-12,1.1950700723335153e-14,3.053335654760318e-21,3.8024399104437955e-23,2.261551844611889e-22,7.077271062502875e-32,5.18851382894705e-29,4.14790001803271e-35,6.055238609469481e-35,6.952639675055045e-41,4.8349572930708384e-42,8.267285720024811e-26,1.2566803864849725e-25,4.1321256535067055e-29,2.765034903235808e-10,2.2613738899893924e-11,6.528620495728219e-12,2.4504914610177517e-11,1.7986250550775378e-11,0.0028372665384390093,2.5853865473027104e-06,1.5549502606923355e-07,8.011882463936325e-09,6.45386449674468e-18,4.080961002985451e-15,8.175713078907087e-23,1.7519474853962283e-26,4.696336179867471e-20,2.504333621629034e-15,1.975157313420652e-12,5.4800668801195064e-14,0.730300792872066,0.0,3.91615600847569e-60,2.6055765880224087e-61,5.341495174996353e-32,9.260956921822159e-33,0.0
0.8224489795918368,2029.9655636569207,0.0003146471863650472,3.533049739101811e-05,0.00015184924795981887,0.03274359525377798,0.0018658394509664493,0.15777757400714648,9.97977486136394e-07,5.882360674475235e-08,8.797506359451829e-21,7.51973643442162e-22,1.951660180557234e-21,9.766640898138272e-23,1.3183555107288885e-20,5.989560667285073e-21,0.0007364226050342816,0.07878526333941113,8.759734975374943e-12,9.519719859860193e-14,5.351089394457335e-20,7.296990965929897e-22,3.6466152815174155e-21,1.5969198920545776e-29,6.886882153546163e-27,1.1035185172474865e-32,1.2458337277795046e-32,2.8637199989882066e-38,1.7701546223936742e-39,4.79918798240349e-24,6.065378875352991e-24,2.979587138955979e-27,1.1830000107614057e-09,1.0995110055261652e-10,3.1299368245689885e-11,9.297976848331772e-11,6.265478939593497e-11,0.0031597773050170168,2.0571251099615324e-06,1.7112970724783794e-07,1.5372917095660382e-08,1.1936006897672365e-16,4.924319891853342e-14,2.2925025956135075e-21,5.860165290939844e-25,5.486785606993943e-19,1.6428642169840816e-14,9.512756678188567e-12,3.4472383910285087e-13,0.7255194201989725,0.0,2.06054442977457e-56,1.2125504764480275e-57,5.2260532478245185e-30,8.326929907152806e-31,0.0
0.8877551020408163,2119.0486609300156,0.0007919881903540349,9.875734627800843e-05,0.0002278960928930954,0.020639328917672208,0.00257691246327634,0.1684645136633415,1.0189151130914e-06,6.561842589678747e-08,2.365422926806873e-19,2.35230278180572e-20,5.719650975885946e-20,3.1369378563145863e-21,3.3123915929953376e-19,1.3748732227846601e-19,0.001959492158751177,0.08333797042763494,5.383283784338103e-11,6.334716782459264e-13,7.148919718843167e-19,1.0512087290438208e-20,4.7855327083994654e-20,2.0823996397820032e-27,6.108913864212746e-25,1.8199919291213635e-30,1.7504304803852798e-30,7.476975948348295e-36,4.414165853187655e-37,1.8675364417851615e-22,2.133919343212969e-22,1.458520912902796e-25,3.902133816425629e-09,4.231240631974452e-10,1.2517207127649862e-10,3.22686648350034e-10,1.8329006492647783e-10,0.003140196287282734,1.4125230526367958e-06,1.6855117323305077e-07,2.5133378503961852e-08,1.5753210488296686e-15,4.814990799339126e-13,4.7074723281586057e-20,1.3228054984842617e-23,4.7564228113961734e-18,8.859254089478786e-14,3.9838292376269304e-11,1.7099762774173324e-12,0.7209671506431412,0.0,5.803139533449282e-53,3.248517905523873e-54,3.4520714327336633e-28,5.39925038386321e-29,0.0
0.953061224489796,2191.813891291797,0.0019176837012830949,0.00023616258234702777,0.0002597977636136538,0.010215003272046486,0.003023932009861414,0.17845420697104972,7.966806153530313e-07,6.017421518324603e-08,4.032968101499056e-18,4.932586043829097e-19,1.2513968146902385e-18,7.356131912446872e-20,7.078330577607134e-18,3.0140363650386054e-18,0.004858067330559066,0.0861431404418317,2.757891316140266e-10,3.782066272839663e-12,7.931625623324273e-18,1.2355419914572295e-19,5.747805230319954e-19,1.815447584855272e-25,4.365219439023222e-23,2.2798617721221077e-28,2.1314991552547744e-28,1.595925195962952e-33,9.986466482305193e-35,5.457279276158925e-21,6.3405679804837834e-21,5.5668030688363144e-24,9.630460890814509e-09,1.286489282289582e-09,4.297940536971699e-10,1.091850626522301e-09,4.5237716593195263e-10,0.0026165964946293467,7.451966042716801e-07,1.394619406190006e-07,3.350829104588196e-08,1.5656327825587222e-14,4.184784528983696e-12,7.8665116871370555e-19,2.162986963415001e-22,3.1602246977961744e-17,4.1074195708757575e-13,1.5262683285728678e-10,6.78910254494912e-12,0.716723825300361,0.0,1.2728148144916014e-49,7.529689098290919e-51,1.8121158996798556e-26,3.067113610762293e-27,0.0
1.0183673469387755,2231.990961757631,0.004668830967433249,0.00046248276570755374,0.00018543216895381946,0.0031257193247332493,0.0027066307996713363,0.18701487937820427,3.827554717676424e-07,3.882857310950083e-08,3.9318193776082085e-17,6.621553851681569e-18,2.1215638505342117e-17,1.2933115153727885e-18,1.464569437223629e-16,7.81263924939562e-17,0.01144267773988029,0.08519158206890717,1.1740932404145171e-09,2.1556679720095058e-11,7.728480135174657e-17,1.2411447970685313e-18,7.213886706726542e-18,1.1300394146219836e-23,3.0246553421292447e-21,2.61906279387822e-26,2.981024520967719e-26,3.700693400780476e-31,2.950045156105016e-32,1.2715114438831382e-19,1.841454101807946e-19,1.8438635858432106e-22,1.5474721504234745e-08,2.8484650653182652e-09,1.2530721913506639e-09,3.902798151295634e-09,8.952810948441017e-10,0.0015797826218633933,2.3512307802390356e-07,8.367409396632926e-08,3.19880723705655e-08,1.1467972209745727e-13,3.530222322570699e-11,1.1549247335765838e-17,2.534185647119916e-21,1.5378072426886705e-16,1.6547348289250991e-12,5.564762631212958e-10,2.0414746128134578e-11,0.7127928987886853,0.0,3.357467602441714e-46,2.5264218296171423e-47,8.762089030409052e-25,1.9099697840769382e-25,0.0
1.0836734693877552,2219.738372148106,0.01063702249006271,0.0006551828594396896,7.269831908192316e-05,0.000554552809727466,0.0017020809790468249,0.19258009868235063,1.0179420923296597e-07,1.6225035648110266e-08,1.487160263098057e-16,3.905714959908658e-17,2.0030208292220826e-16,1.2077487169679136e-17,2.2360873866763765e-15,1.913791821891279e-15,0.023278235526138412,0.0789196880976878,3.431811650202226e-09,9.909327800036123e-11,5.190848909789722e-16,8.2598864265962e-18,7.709247453804447e-17,3.1219331684539877e-22,1.389284289887213e-19,1.7740034080236266e-24,3.2677349663833298e-24,5.982010068675068e-29,7.612578698319097e-30,1.6559642823999172e-18,3.853709397461074e-18,3.708932193680297e-21,1.3434220357953138e-08,3.8555649678213e-09,2.6808463821063678e-09,1.348431769483e-08,1.2427259798165983e-09,0.0006457888211494886,4.097663046348221e-08,3.397458880913047e-08,1.955959274118927e-08,4.687108209273163e-13,2.374410130825555e-10,1.1288885744046726e-16,1.5307062982668763e-20,4.280450793956811e-16,4.875555089990723e-12,1.689616303126859e-09,3.825398443251697e-11,0.708865212866585,0.0,5.7201343409117805e-43,6.874458621917438e-44,2.700635018516966e-23,9.366980386711247e-24,0.0
1.1489795918367347,2176.134160206258,0.019553504371090862,0.0006975959024160534,2.3341531540745903e-05,9.852138906394613e-05,0.0009345813442252739,0.19501728880574765,2.415862398344077e-08,6.107176122467107e-09,2.267469361878976e-16,9.189787756031999e-17,7.997362036961894e-16,4.633195118179209e-17,1.5732064039107092e-14,2.3056641301537295e-14,0.03688637288009617,0.07080710091828656,6.223084148555569e-09,2.859995498915299e-10,1.8226364981609694e-15,2.804909439513712e-17,4.495396877026526e-16,2.4947908242739332e-21,2.1644402092683622e-18,3.477528215000242e-23,1.1318320102965704e-22,2.6069498672853637e-27,5.576746927233828e-28,8.49975674344903e-18,3.405589439061518e-17,2.836839445821744e-20,7.993101689602322e-09,3.537121054183502e-09,3.9864775283861645e-09,3.515553894729709e-08,1.2719429976352227e-09,0.0002457674605725142,6.941495170938904e-09,1.2840242529151096e-08,9.868387854009073e-09,9.649725927206813e-13,9.180757125644212e-10,5.206944724818043e-16,4.0679421138325306e-20,6.609133951526235e-16,9.264187319351764e-12,3.5829034122776925e-09,4.570824975720507e-11,0.7047242294064673,0.0,1.5190096908450865e-40,3.073896434088021e-41,2.9892055118146465e-22,1.7220926349509558e-22,0.0
1.2142857142857144,2125.2087797097306,0.030349724126578187,0.0006466817833480171,7.781607905659561e-06,2.1307259580066603e-05,0.000515668932066631,0.19531331261510204,6.399434156786887e-09,2.4429046343030317e-09,2.1782353195160003e-16,1.2893403606806266e-16,1.8394833182503016e-15,1.0149892240866606e-16,6.214397780406011e-14,1.5111156439266666e-13,0.049586950306155786,0.06353520426455687,8.48442862641295e-09,5.914679183961781e-10,4.118829593466883e-15,6.086945095879461e-17,1.6229199139237517e-15,8.951216055968632e-21,1.5085837672943914e-17,2.7592867105254657e-22,1.5474713517231855e-21,4.0580424688441974e-26,1.4075692785614914e-26,2.372899472235292e-17,1.5872475390853565e-16,1.1088312928569314e-19,4.2416084674080525e-09,2.7380711018483704e-09,4.78548788038333e-09,7.202327249503206e-08,1.1270635945117976e-09,0.00010096069209439962,1.4190114563415048e-09,5.240681313172827e-09,4.921356571227055e-09,1.3391969675489633e-12,2.3648961277711406e-09,1.4309519448504094e-15,6.643775009651917e-20,7.420642345579736e-16,1.3394456679080946e-11,5.9236275793912725e-09,4.363122533238382e-11,0.7005084206896872,0.0,9.133977311842652e-39,3.003304258202503e-39,1.5774515329325933e-21,1.4522014115464477e-21,0.0
1.279591836734694,2073.394695364162,0.042498749001149666,0.0005580030979782679,2.725832411891906e-06,5.32570666794217e-06,0.00028954603559556454,0.19404767051100102,1.8596131028662696e-09,1.0320693086167983e-09,1.6520704790589244e-16,1.371909051794636e-16,3.1056849176170507e-15,1.626762023770293e-16,1.7503899270582877e-13,6.847422280567785e-13,0.060980835428326434,0.05750434382686722,9.916918988605289e-09,1.010144018143523e-09,7.239629761776727e-15,1.0249092244042783e-16,4.405172290399933e-15,2.0572512411824824e-20,6.596799657135937e-17,1.2972008477311087e-21,1.2180468016179904e-20,3.434867477075332e-25,1.869391535983066e-25,4.7249428706142355e-17,5.11597521688047e-16,2.962454475783988e-19,2.156031874804876e-09,1.9496646195400813e-09,5.096925218677478e-09,1.2710483600101208e-07,9.277407088434996e-10,4.422075057159516e-05,3.3423787890581437e-10,2.2820860762665276e-09,2.4835015870140594e-09,1.505282606490929e-12,4.818024573953559e-09,2.924667524333692e-15,8.327033133596934e-20,7.057050214314874e-16,1.6681651949824072e-11,8.515208110400738e-09,3.7264534354361734e-11,0.6963004225216375,0.0,2.2745713412975313e-37,1.1761331879058606e-37,5.43558131172837e-21,7.730261581689095e-21,0.0
